record_id,object_id,name,address,additional_address,city,county,state,zip,latitude,longitude,store_type
954133,12,7-Eleven Inc F 29720,2000 E West Hwy,,Hyattsville,Prince Georges,MD,20782,38.969913,-76.976501,Convenience Store
1628120,82,24/7 Best Convenience,3212 Branch Ave,,Temple Hills,Prince Georges,MD,20748,38.849102,-76.953423,Convenience Store
1632454,139,Erdman Amoco,4901 Erdman Ave,,Baltimore,Baltimore City,MD,21205,39.306442,-76.559082,Convenience Store
1634302,216,CVS Pharmacy 2956,5414 Rotary Ave,,New Market,Frederick,MD,21774,39.382496,-77.256149,Other
1634064,217,Delaney Glen Farm,2135 Tyrone Rd,,Westminster,Carroll,MD,21158,39.632469,-77.071167,Farmers and Markets
1609859,218,6 Eleven Market,501 N Calhoun St,,Baltimore,Baltimore City,MD,21223,39.294239,-76.639664,Convenience Store
1630963,408,Noah's Grocery Store,338 N Pulaski St,,Baltimore,Baltimore City,MD,21223,39.292702,-76.650551,Convenience Store
1630229,409,Big Boys Carryout,2810 Edmondson Ave,,Baltimore,Baltimore City,MD,21223,39.294712,-76.663353,Convenience Store
1683995,421,Communitas Farm,17611 Grace Rd,,Hampstead,Baltimore,MD,21074,39.609394,-76.816452,Farmers and Markets
1672055,425,Two Time Mini Mart,300 N Carey St,,Baltimore,Baltimore City,MD,21223,39.292381,-76.638618,Grocery Store
1626023,432,The Corner Pocket Convenience And Grocery,1333 N Milton Ave,,Baltimore,Baltimore City,MD,21213,39.306786,-76.582573,Grocery Store
1630423,542,Rex's Deli,2101 E Monument St,Ste 19,Baltimore,Baltimore City,MD,21205,39.298096,-76.587532,Other
894148,543,7-Eleven Inc F 33708,12257 Tech Rd,,Silver Spring,Montgomery,MD,20904,39.05666,-76.965439,Convenience Store
1425583,545,Divina Providencia 3,11312 Reisterstown Rd,,Owings Mills,Baltimore,MD,21117,39.437099,-76.802307,Grocery Store
1619616,546,Mehret Ethiopian Market,12345 Georgia Ave,Unit I,Silver Spring,Montgomery,MD,20906,39.059544,-77.049263,Other
1631261,607,La Bendicion Market 2,3105 Marshall Hall Rd,,Bryans Road,Charles,MD,20616,38.629642,-77.075127,Grocery Store
1627847,746,Sonya's Market,2833 11th St NW,,Washington,Dist Of Columbia,DC,20001,38.926659,-77.026802,Convenience Store
1623608,795,Eaj Inc 1,3420 Georgia Ave NW,,Washington,Dist Of Columbia,DC,20010,38.932568,-77.024025,Other
1625498,809,Lexington Deli Mart,329 W Lexington St,,Baltimore,Baltimore City,MD,21201,39.291348,-76.620895,Convenience Store
1632838,812,First Fruit International,9709 Fort Meade Rd,,Laurel,Prince Georges,MD,20707,39.095184,-76.837524,Convenience Store
1627650,815,Union Latina LLC,810 Beaglin Park Drive,Unit 1 & 2,Salisbury,Wicomico,MD,21804,38.347866,-75.580467,Grocery Store
964611,863,Global International Grocery Inc,10216 New Hampshire Ave,,Silver Spring,Montgomery,MD,20903,39.022633,-76.978317,Grocery Store
963158,866,7-Eleven Inc F 23696,650 University Blvd E,,Silver Spring,Montgomery,MD,20901,39.00024,-76.994949,Convenience Store
1174106,1017,Birdland Mart,1100 Washington Blvd,,Baltimore,Baltimore City,MD,21230,39.282959,-76.63282,Convenience Store
1628645,1019,Farm To School Frederick Veggie Van,8397 Buckeye Ct,,Frederick,Frederick,MD,21702,39.462875,-77.429306,Other
1641400,1020,Royal Farms 360,21779 Tulagi Pl,,Lexington Park,St Marys,MD,20653,38.265263,-76.452202,Convenience Store
1642028,1101,MOM's Organic Market 27,6250 Connecticut Ave NW,,Washington,Dist Of Columbia,DC,20008,38.919537,-77.049133,Super Store
1631693,1138,Kenynur Inc 1,831 Kennedy St NW,,Washington,Dist Of Columbia,DC,20011,38.956505,-77.025345,Convenience Store
1633910,1153,7-eleven #11637k 11637G,1 Greenwood Pl,,Pikesville,Baltimore,MD,21208,39.374329,-76.739738,Convenience Store
1654254,1216,Tobacco And Convenience,229 S Bridge St,,Eklton,Cecil,MD,21921,39.603947,-75.829544,Convenience Store
1204667,1222,Plaza Latina Food Market,8 N Aurora St,,Easton,Talbot,MD,21601,38.774529,-76.071465,Grocery Store
958510,1244,7-Eleven Inc F 34280A,1465 Key Hwy,,Baltimore,Baltimore City,MD,21230,39.271454,-76.599434,Convenience Store
1658302,1255,24/7 Deli & Convenience,3847 Minnesota Ave NE,,Washington,Dist Of Columbia,DC,20019,38.89304,-76.950363,Convenience Store
1666448,1259,Sheetz 893,15919 Spielman Rd,,Williamsport,Washington,MD,21795,39.584908,-77.815865,Convenience Store
1627819,1322,7-eleven #42063a 42063A,5901 Stevens Forest Rd,,Columbia,Howard,MD,21045,39.208977,-76.847298,Convenience Store
1630440,1447,Discount Super Market,231 N Eutaw St,,Baltimore,Baltimore City,MD,21201,39.292683,-76.620911,Convenience Store
1627009,1514,Penny Mart # 4,245 N Potomac Street,,Hagerstown,Washington,MD,21740,39.645802,-77.717659,Convenience Store
1632240,1517,Old Town Market,624 Aisquith St,Ste 620B,Baltimore,Baltimore City,MD,21202,39.297878,-76.602081,Convenience Store
1634145,1525,Healthy Hands Of Harvest,10400 Denver Ter,,Upper Marlboro,Prince Georges,MD,20774,38.871151,-76.826012,Farmers and Markets
1463269,1526,Stop & Shop Convinience Store 1,8500 Allentown Rd,Suite A & B,Fort Washington,Prince Georges,MD,20744,38.772511,-76.950745,Convenience Store
1630680,1567,Shop Express,2335 Orleans St,,Baltimore,Baltimore City,MD,21224,39.295395,-76.583847,Convenience Store
1639979,1568,Ocean State Job Lot 650,17151 Cole Rd,,Hagerstown,Washington,MD,21740,39.620884,-77.775139,Other
1634358,1640,Loves Gardens Llc,15800 Nottingham Rd,,Upper Marlboro,Prince Georges,MD,20770,38.722668,-76.732254,Farmers and Markets
1632470,1642,7-Eleven #29912C 22912C,15900 Shady Grove Rd,,Gaithersburg,Montgomery,MD,20877,39.118092,-77.184219,Convenience Store
1625035,1668,Penny Mart,119A S Market St,,Frederick,Frederick,MD,21701,39.411274,-77.411613,Convenience Store
1638437,1669,Family Dollar 13998,405 S Jefferson St,,Frederick,Frederick,MD,21701,39.40736,-77.429878,Other
1634320,1700,Carroll Motor Mart 1,910 Philadelphia Rd,,Joppa,Harford,MD,21085,39.438324,-76.345474,Convenience Store
1634173,1875,Royal Mart Inc,705 Whitelock St,,Baltimore,Baltimore City,MD,21217,39.314327,-76.630486,Convenience Store
1632824,1876,Butcher & Bay By Geresbecks 704,12037 Belair Rd,,Kingsville,Baltimore,MD,21087,39.454937,-76.414917,Supermarket
1626883,1982,Dera Express,5921 Moravia Rd,,Baltimore,Baltimore City,MD,21206,39.31625,-76.545288,Convenience Store
1630950,1983,Kavon Food Mart 1,4400 Kavon Ave,,Baltimore,Baltimore City,MD,21206,39.328377,-76.562378,Convenience Store
1564764,1998,Dollar Tree 9393,6904 Harford Rd,,Baltimore,Baltimore,MD,21234,39.366398,-76.54985,Other
252168,2060,CVS PHARMACY 1330,400 Englar Rd,,Westminster,Carroll,MD,21157,39.584732,-76.988724,Other
1679793,2249,Brentwood Market 1,4413 37th St,,Brentwood,Prince Georges,MD,20722,38.945423,-76.958328,Convenience Store
243106,2273,Royal Farms 04,502 Market St,,Denton,Caroline,MD,21629,38.885334,-75.829292,Convenience Store
243159,2279,GIANT FOOD 117,6223 Baltimore National Pike # 25,,Catonsville,Baltimore,MD,21228,39.281548,-76.752846,Super Store
252617,2343,SHLOMO KOSHER MEAT & FISH MARKET,506 Reisterstown Rd,,Pikesville,Baltimore,MD,21208,39.367676,-76.717133,Specialty Store
245549,2353,SAFEWAY 1089,12251 Darnestown Rd,,Gaithersburg,Montgomery,MD,20878,39.119297,-77.255264,Supermarket
252928,2416,FASTOP 56,4990 Saint Leonard Rd,,Saint Leonard,Calvert,MD,20685,38.473587,-76.506195,Convenience Store
253247,2443,Whole Foods Market 10180,316 Kentlands Blvd,,Gaithersburg,Montgomery,MD,20878,39.122719,-77.237778,Super Store
246076,2543,Walmart 3490,7081 Arundel Mills Cir,,Hanover,Anne Arundel,MD,21076,39.15572,-76.732407,Super Store
242358,2615,Kleins Shop Rite 0545,2101 Rock Spring Rd,,Forest Hill,Harford,MD,21050,39.574318,-76.385971,Super Store
242573,2626,Food Lion 698,840 S 5th Ave,,Denton,Caroline,MD,21629,38.873276,-75.827606,Supermarket
246356,2688,GIANT FOOD 108,6340 York Rd # 50,,Baltimore,Baltimore City,MD,21212,39.373199,-76.611633,Super Store
244292,2717,SAFEWAY  1657,10335 Reisterstown Rd,,Owings Mills,Baltimore,MD,21117,39.41864,-76.776894,Supermarket
251337,2880,Giant Food 2330,1649 Crofton Ctr,,Crofton,Anne Arundel,MD,21114,39.016048,-76.693649,Super Store
251366,2883,Royal Farms 45,308 S Camp Meade Rd,,Linthicum Heights,Anne Arundel,MD,21090,39.20195,-76.65451,Convenience Store
269876,3018,CARIBBEAN EXPRESS MARKET,226 Florida Ave,,Salisbury,Wicomico,MD,21801,38.357319,-75.602913,Grocery Store
270056,3038,Food Lion 1423,2458 E Churchville Rd,,Bel Air,Harford,MD,21015,39.556763,-76.271851,Supermarket
270521,3076,Korean Korner,12207 Veirs Mill Rd,,Silver Spring,Montgomery,MD,20906,39.057262,-77.082161,Super Store
270962,3110,GIANT FOOD 365,3299 Emmorton Rd,,Abingdon,Harford,MD,21009,39.472717,-76.308784,Super Store
266708,3150,Royal Farms 111,1200 Ponca St,,Baltimore,Baltimore City,MD,21224,39.277962,-76.554405,Convenience Store
267059,3171,Sheetz 51,210 Greene St,,Cumberland,Allegany,MD,21502,39.649979,-78.769966,Convenience Store
267334,3199,Food Lion 1558,1001 E Pulaski Hwy,,Elkton,Cecil,MD,21921,39.603828,-75.798584,Supermarket
267518,3218,Save A Lot 277,2008 Maryland Ave,,Baltimore,Baltimore City,MD,21218,39.312302,-76.618042,Supermarket
236252,3226,Royal Farms 14,4384 Hollins Ferry Rd,,Halethorpe,Baltimore,MD,21227,39.237579,-76.662888,Convenience Store
247924,3234,Walmart Supercenter 2233,7400 Guilford Dr,,Frederick,Frederick,MD,21704,39.396423,-77.410995,Super Store
237426,3347,Royal Farms 67,7193 Baltimore Annapolis Blvd,,Glen Burnie,Anne Arundel,MD,21061,39.185425,-76.640579,Convenience Store
236910,3448,GIANT FOOD 131,8665 Philadelphia Rd,,Rosedale,Baltimore,MD,21237,39.337685,-76.484886,Super Store
237015,3459,BYERS STOP N GO,152 N Burhans Blvd,,Hagerstown,Washington,MD,21740,39.647194,-77.724937,Grocery Store
268818,3497,Trader Joe's 642,12268H Rockville Pike,,Rockville,Montgomery,MD,20852,39.057106,-77.122772,Supermarket
267649,3516,Royal Farms 54,8268 Lark Brown Rd,,Elkridge,Howard,MD,21075,39.188747,-76.795784,Convenience Store
237618,3544,Santonis 21,4854 Butler Rd,,Glyndon,Baltimore,MD,21071,39.476124,-76.820145,Super Store
267728,3567,AMERICANA GROCERY OF MD,8541 PINEY BRANCH RD,,SILVER SPRING,Montgomery,MD,20901,38.997852,-77.000969,Grocery Store
271469,3600,CVS PHARMACY 1496,7050 Allentown Rd,,Camp Springs,Prince Georges,MD,20748,38.793465,-76.926437,Other
271569,3655,CVS PHARMACY 1354,2601 Connecticut Ave NW,,Washington,Dist Of Columbia,DC,20008,38.923637,-77.051537,Other
268312,3700,Dollar General 6542,28 Village Center Rd,,Reisterstown,Baltimore,MD,21136,39.46825,-76.831268,Other
268410,3708,Jubilee Foods,515 E Main St,Box 460,Emmitsburg,Frederick,MD,21727,39.703007,-77.319275,Super Store
271817,3772,7-ELEVEN 33247,3901 Pulaski Hwy,,Abingdon,Harford,MD,21009,39.459034,-76.257637,Convenience Store
238119,3780,Shore Stop 228,3721 Ocean Gtwy,,Trappe,Talbot,MD,21673,38.647938,-76.053391,Convenience Store
271824,3811,Lees Mini Market,600 N Fulton Ave,,Baltimore,Baltimore City,MD,21217,39.295315,-76.645882,Convenience Store
1646362,4112,Ethio Plus,11303 Georgia Ave,,Silver Spring,Montgomery,MD,20902,39.040527,-77.050941,Other
288028,4128,GIANT FOOD 342,4119 Branch Ave,,Temple Hills,Prince Georges,MD,20748,38.832611,-76.944267,Super Store
238584,4161,Royal Farms 17,8207 Harford Rd,,Parkville,Baltimore,MD,21234,39.378712,-76.538597,Convenience Store
287784,4242,GIANT FOOD 192,18250 Flower Hill Way,,Gaithersburg,Montgomery,MD,20879,39.154785,-77.165588,Super Store
289189,4284,CVS PHARMACY 1488,6260 Crain Hwy,,La Plata,Charles,MD,20646,38.539936,-76.984055,Other
284923,4349,Food Lion 1547,2250 Hanson Rd,,Edgewood,Harford,MD,21040,39.428085,-76.298759,Supermarket
288395,4386,7-Eleven Inc F 23689,2701 W Franklin St,,Baltimore,Baltimore City,MD,21223,39.293083,-76.661682,Convenience Store
288440,4389,Royal Farms 12,5 E Timonium Rd,,Lutherville Timonium,Baltimore,MD,21093,39.440945,-76.625664,Convenience Store
288687,4408,Giant Food 100,11399 York Rd,,Cockeysville,Baltimore,MD,21030,39.494984,-76.648567,Super Store
288785,4417,CVS PHARMACY 540,31 E LIGHT ST,,BALTIMORE,Baltimore City,MD,21202,39.28801,-76.613625,Other
289012,4442,WEST INDIAN FOODS,5118 Liberty Heights Ave,,Gwynn Oak,Baltimore,MD,21207,39.333206,-76.701355,Grocery Store
289077,4449,Royal Farms 76,3901 10 Oaks Rd,,Glenelg,Howard,MD,21737,39.26442,-76.98629,Convenience Store
284998,4484,ROLANDS OF CHESAPEAKE,7875 Bayside Rd,,Chesapeake Beach,Calvert,MD,20732,38.688541,-76.536285,Super Store
285022,4497,Wise Mart II,806 Main St,,Sharptown,Wicomico,MD,21861,38.534004,-75.715912,Convenience Store
285078,4525,GIANT FOOD 347,10480 Campus Way S,,Upper Marlboro,Prince Georges,MD,20774,38.894844,-76.826843,Super Store
283597,4626,Sheetz 62,10601 New Georges Creek Rd SW,,Frostburg,Allegany,MD,21532,39.649536,-78.911293,Convenience Store
284437,4736,GIANT FOOD 2313,5320 Zenith Overlook,,Bethesda,Montgomery,MD,20816,38.964794,-77.107147,Super Store
285280,4759,Save-A-Lot 24229,1050 W Industrial Blvd,Ste 1,Cumberland,Allegany,MD,21502,39.631504,-78.750816,Supermarket
227628,4765,Walmart Supercenter 1890,2702 N Salisbury Blvd,,Salisbury,Wicomico,MD,21801,38.417439,-75.569229,Super Store
239277,4875,Royal Farms 86,3601 Potee St,,Brooklyn,Baltimore City,MD,21225,39.238586,-76.611,Convenience Store
229627,5222,ALDI INC 31,3601 W Cold Spring Ln,,Baltimore,Baltimore City,MD,21215,39.335686,-76.676193,Supermarket
230051,5266,Dollar General 6575,9840 Liberty Rd,,Randallstown,Baltimore,MD,21133,39.381607,-76.822449,Other
263143,5282,Royal Farms 27,5415 Pulaski Hwy,,Perryville,Cecil,MD,21903,39.570553,-76.06942,Convenience Store
275311,5292,FRIENDLY FOOD MARKET,1399 Half St SW,,Washington,Dist Of Columbia,DC,20024,38.873135,-77.010834,Convenience Store
230411,5332,Royal Farms 64,7950 Pulaski Hwy,,Rosedale,Baltimore,MD,21237,39.319046,-76.512451,Convenience Store
259194,5510,Dollar General 951,10601 New Georges Creek R,,Frostburg,Allegany,MD,21532,39.650524,-78.911774,Other
259518,5675,CVS PHARMACY 452,7607 Greenbelt Rd,,Greenbelt,Prince Georges,MD,20770,38.99353,-76.875641,Other
259526,5679,Forest Dr. Sunoco,1207 Forest Dr,,Annapolis,Anne Arundel,MD,21403,38.954876,-76.50457,Convenience Store
230865,5686,Aldi 29,7609 New Hampshire Ave,,Takoma,Montgomery,MD,20912,38.986126,-76.987923,Supermarket
259553,5697,Martins Food Market 6275,1650C Wesel Blvd,,Hagerstown,Washington,MD,21740,39.63253,-77.764221,Supermarket
261835,5771,CVS PHARMACY 2216,1001 York Rd,,Towson,Baltimore,MD,21204,39.410404,-76.60862,Other
262870,5817,CVS Pharmacy 1333,3601 12th St NE,,Washington,Dist Of Columbia,DC,20017,38.933819,-76.990837,Other
260452,5844,Weis Markets 81,31 Eastern Blvd N,,Hagerstown,Washington,MD,21740,39.633854,-77.700584,Supermarket
260660,5869,HAN-AH-REUM SUPERMARKET,800 N Rolling Rd,,Catonsville,Baltimore,MD,21228,39.282288,-76.75531,Super Store
260675,5871,SAFEWAY 2797,3333 Spartan Rd,,Olney,Montgomery,MD,20832,39.150108,-77.065269,Supermarket
276236,5910,Royal Farms 43,501 W Seminary Ave,,Lutherville Timonium,Baltimore,MD,21093,39.422451,-76.632103,Convenience Store
259994,5967,SAFEWAY  1443,8785 Branch Ave,,Clinton,Prince Georges,MD,20735,38.769127,-76.889359,Supermarket
311591,6391,Calvin's,208 E Preston St,,Baltimore,Baltimore City,MD,21202,39.304668,-76.612724,Convenience Store
309846,6518,Food Lion 1211,1216 Nanticoke Rd,,Salisbury,Wicomico,MD,21801,38.368816,-75.617538,Supermarket
277879,6521,Trader Joe's 650,160 Jennifer Rd,,Annapolis,Anne Arundel,MD,21401,38.989014,-76.540253,Supermarket
308810,6525,Royal Farms 112,3503 Washington Blvd,,Halethorpe,Baltimore,MD,21227,39.252796,-76.668465,Convenience Store
310118,6605,Walmart Supercenter 2027,12500 Country Club Mall Rd SW,,Lavale,Allegany,MD,21502,39.624115,-78.835991,Super Store
310326,6631,Walgreens 19312,6130 Baltimore Ave,,Riverdale,Prince Georges,MD,20737,38.962624,-76.939888,Other
309661,6862,Sheetz 209,20723 National Pike,,Boonsboro,Washington,MD,21713,39.571468,-77.646355,Convenience Store
313172,7044,ACME 820,611 Railroad Ave,,Centreville,Queen Annes,MD,21617,39.039715,-76.055862,Supermarket
313315,7058,CVS PHARMACY  1344,500 12th St SE,,Washington,Dist Of Columbia,DC,20003,38.882523,-76.990204,Other
313471,7071,SAFEWAY 1445,2845 Alabama Ave SE,,Washington,Dist Of Columbia,DC,20020,38.859032,-76.966675,Supermarket
290832,7197,Sheetz 242,1600 Rosemont Ave,,Frederick,Frederick,MD,21702,39.426567,-77.430458,Convenience Store
290911,7204,Giant Food 106,7919 Tuckerman Ln,,Potomac,Montgomery,MD,20854,39.041058,-77.156799,Super Store
1576542,7275,Ayah Mini Mart,528 N Arlington Ave,,Baltimore,Baltimore City,MD,21223,39.295212,-76.635925,Grocery Store
314190,7425,The Famous Store,1801 E Federal St,,Baltimore,Baltimore City,MD,21213,39.308594,-76.592674,Convenience Store
381553,7526,FORT DETRICK COMMISSARY 2514,1510 Porter St,,Frederick,Frederick,MD,21702,39.436157,-77.42205,Supermarket
314424,7569,CVS PHARMACY 1506,6200 Central Ave,,Capitol Heights,Prince Georges,MD,20743,38.887005,-76.901588,Other
380066,7705,GIANT FOOD 155,7200 Cradlerock Way,,Columbia,Howard,MD,21045,39.185699,-76.842964,Super Store
380135,7710,GIANT FOOD 196,20044 Goshen Rd,,Gaithersburg,Montgomery,MD,20879,39.186726,-77.188614,Super Store
293197,7770,Sheetz 132,40 Antrium Blvd,,Taneytown,Carroll,MD,21787,39.647522,-77.156082,Convenience Store
293582,7968,Crabknockers Seafood Market,40955 Merchants Ln,Unit 8,Leonardtown,St Marys,MD,20650,38.304588,-76.660927,Specialty Store
273604,7970,AMOCO QUICK FOOD SHOPPE,2600 14th St NW,,Washington,Dist Of Columbia,DC,20009,38.923706,-77.032143,Convenience Store
333647,8017,FASTOP 54,11790 HG Trueman Rd,,Lusby,Calvert,MD,20657,38.372425,-76.440819,Convenience Store
333863,8042,Royal Farms 91,920 W 36th St,,Baltimore,Baltimore City,MD,21211,39.331184,-76.631866,Convenience Store
334030,8058,Walmart Supercenter 2514,2132 Old Snow Hill Rd,,Pocomoke City,Worcester,MD,21851,38.074997,-75.556152,Super Store
334402,8088,Sheetz 161,5601 Buckeystown Pike,,Frederick,Frederick,MD,21704,39.38689,-77.409027,Convenience Store
273690,8194,Food Lion 1668,350 Mountain Rd,,Pasadena,Anne Arundel,MD,21122,39.130379,-76.558128,Supermarket
296897,8221,DOLLAR GENERAL 8664,17213 Virginia Ave,,Hagerstown,Washington,MD,21740,39.616005,-77.772018,Other
298829,8309,CVS PHARMACY 1461,15600 Columbia Pike,,Burtonsville,Montgomery,MD,20866,39.111713,-76.932465,Other
332492,8332,Dollar General 4842,14910 McMullen Hwy SW,,Cresaptown,Allegany,MD,21502,39.590958,-78.836868,Other
297980,8384,SAFEWAY  1716,4701 Sangamore Rd,,Bethesda,Montgomery,MD,20816,38.94997,-77.119576,Supermarket
332513,8425,La Bendicion Market,4905 Suitland Rd,,Suitland,Prince Georges,MD,20746,38.847599,-76.922951,Grocery Store
332541,8465,Black Lion Market,3500 14th St NW,,Washington,Dist Of Columbia,DC,20010,38.934631,-77.03302,Grocery Store
332642,8586,WALGREENS  5638,4025 W Northern Pkwy,,Baltimore,Baltimore City,MD,21215,39.349125,-76.69104,Other
274001,8607,CVS PHARMACY 5706,7095 Baltimore Annapolis Blvd,,Glen Burnie,Anne Arundel,MD,21061,39.198502,-76.641098,Other
295508,8678,Food Lion 1560,206 N Fruitland Blvd,,Fruitland,Wicomico,MD,21826,38.326611,-75.618439,Supermarket
274314,8796,GIANT FOOD 2318,10210 Mill Run Cir,,Owings Mills,Baltimore,MD,21117,39.406693,-76.78727,Super Store
357143,8836,CVS PHARMACY 1353,3327 Connecticut Ave NW,,Washington,Dist Of Columbia,DC,20008,38.934227,-77.05751,Other
294691,8838,Sheetz 68,38 E Potomac St,,Williamsport,Washington,MD,21795,39.600449,-77.820259,Convenience Store
355855,8840,Bolling JBA Commissary 2506,185 Chappie James Blvd SW,,Bolling AFB,Dist Of Columbia,DC,20032,38.842285,-77.016418,Supermarket
333233,8896,CVS Pharmacy 1360,2834 Alabama Ave SE,,Washington,Dist Of Columbia,DC,20020,38.860397,-76.966858,Other
296004,8947,Walmart Supercenter 3489,6420 Petrie Way Rd,,Rosedale,Baltimore,MD,21237,39.337353,-76.48793,Super Store
274721,8986,Walmart Supercenter 2412,3200 North Ridge Rd,,Ellicott City,Howard,MD,21043,39.283138,-76.819489,Super Store
274803,8999,Sheetz 292,22711 Three Notch Rd,,California,St Marys,MD,20619,38.290924,-76.492477,Convenience Store
347902,9012,NICKS OF CLINTON,3953 Saint Charles Pkwy,,Waldorf,Charles,MD,20602,38.607552,-76.888603,Super Store
385984,9209,Tonys Gethsemane,13 S Franklintown Rd,,Baltimore,Baltimore City,MD,21223,39.286556,-76.658287,Convenience Store
289397,9235,Food Lion 1412,8508 Liberty Rd,,Randallstown,Baltimore,MD,21133,39.361439,-76.775314,Supermarket
290484,9395,Martins Food Market 6425,24 Rising Sun Town Ctr,,Rising Sun,Cecil,MD,21911,39.696789,-76.057549,Supermarket
384592,9483,CVS PHARMACY 1514,3611 Bladensburg Rd,,Colmar Manor,Prince Georges,MD,20722,38.934223,-76.951103,Other
1577161,9635,Coral Fresh Seafood & Crabs,4827 Marlboro Pike,,Capitol Heights,Prince Georges,MD,20743,38.87289,-76.929871,Other
386661,9652,GIANT FOOD 147,9580 Livingston Rd,,Fort Washington,Prince Georges,MD,20744,38.75774,-76.994682,Super Store
349778,9725,CVS PHARMACY 1463,1301 Lamberton Dr,,Silver Spring,Montgomery,MD,20902,39.040329,-77.03157,Other
351419,9834,Kleins Shop Rite 0548,949 Beards Hill Rd,,Aberdeen,Harford,MD,21001,39.524834,-76.183594,Super Store
387561,9909,GIANT FOOD 383,4303 Connecticut Ave NW,,Washington,Dist Of Columbia,DC,20008,38.944508,-77.063171,Super Store
451439,9918,Royal Farms 11,5232 Harford Rd,,Baltimore,Baltimore City,MD,21214,39.349594,-76.563828,Convenience Store
451972,9956,Stop & Save Foods,4137 Maryland Hwy,,Oakland,Garrett,MD,21550,39.422817,-79.338867,Grocery Store
452146,9973,GIANT FOOD 316,6000 GREENBELT RD,,GREENBELT,Prince Georges,MD,20770,38.997868,-76.910835,Super Store
352924,10068,Sheetz 210,8408 Woodsboro Pike,,Walkersville,Frederick,MD,21793,39.464561,-77.365379,Convenience Store
353059,10084,Royal Farms 26,18 N Dundalk Ave,,Dundalk,Baltimore,MD,21222,39.258335,-76.524368,Convenience Store
340466,10138,THOMAS CALOMIRIS & SONS INC,225 SEVENTH ST SE,Stand 300,WASHINGTON,Dist Of Columbia,DC,20003,38.886421,-76.996468,Specialty Store
353704,10276,Whole Foods Market 10118,833 Wayne Ave,,Silver Spring,Montgomery,MD,20910,38.996082,-77.023308,Super Store
1668232,10381,Gourmet Convenience,762 W Baltimore St,,Baltimore,Baltimore City,MD,21201,39.289154,-76.628738,Convenience Store
1666218,10512,Blessing Foods,1214 E Lafayette Ave,,Baltimore,Baltimore City,MD,21202,39.310543,-76.602089,Grocery Store
282086,10587,Andrews AFB Commissary 2402,1684 Starkey Ave,,JB Andrews,Prince Georges,MD,20762,38.81601,-76.882233,Supermarket
1595086,10629,Gateway Farmers Market,3716 Rhode Island Ave,,Brentwood,Prince Georges,MD,20722,38.938793,-76.9571,Farmers and Markets
352263,10678,CVS PHARMACY 1481,2945 Festival Way,,Waldorf,Charles,MD,20601,38.629112,-76.909592,Other
352324,10686,JENI'S 7 STAR FOOD MKT,4220 Pennington Ave,,Baltimore,Baltimore City,MD,21226,39.226963,-76.588852,Convenience Store
1665768,10788,Kgenetix Farm Llc,2315 Ashburton St,,Baltimore,Baltimore City,MD,21216,39.313728,-76.662201,Farmers and Markets
339956,10791,Royal Farms 46,4308 Washington Blvd,,Baltimore,Baltimore,MD,21227,39.239529,-76.681694,Convenience Store
434961,10842,GIANT FOOD 323,8223 Elliott Rd,,Easton,Talbot,MD,21601,38.774948,-76.05545,Super Store
340243,10911,Weis Markets 128,2205 Hanover Pike,,Hampstead,Carroll,MD,21074,39.635078,-76.865044,Supermarket
341656,10960,SAFEWAY  1281,10000 Baltimore National Pike,,Ellicott City,Howard,MD,21042,39.279202,-76.855682,Supermarket
319671,11027,Dollar General 2116,3237 Chestnut Ridge Rd,,Grantsville,Garrett,MD,21536,39.696682,-79.100105,Other
319701,11034,SAFEWAY  1276,6500 Piney Branch Rd NW,,Washington,Dist Of Columbia,DC,20012,38.969566,-77.026558,Supermarket
240504,11040,Walmart Supercenter 1875,407 George Claus Blvd,,Severn,Anne Arundel,MD,21144,39.145714,-76.648659,Super Store
299351,11150,Harris Market,701 S Division St,,Salisbury,Wicomico,MD,21804,38.357845,-75.595459,Other
299394,11154,Food Lion 1238,11800 Old National Pike,,New Market,Frederick,MD,21774,39.383591,-77.254555,Supermarket
300163,11246,PANAMERICANA GROCERY,3552 14th St NW,,Washington,Dist Of Columbia,DC,20010,38.935898,-77.033081,Super Store
316013,11285,SAFEWAY  1481,2610 Boston St,,Baltimore,Baltimore City,MD,21224,39.280228,-76.579613,Supermarket
241533,11467,Sheetz 249,1300 E Patrick St,,Frederick,Frederick,MD,21701,39.407444,-77.388184,Convenience Store
300398,11533,Sheetz 167,10805 Mount Savage Rd NW,,Corriganville,Allegany,MD,21524,39.69294,-78.790764,Convenience Store
317118,11572,Dollar General 7636,8571A Fort Smallwood Rd,,Pasadena,Anne Arundel,MD,21122,39.151539,-76.519417,Other
318375,11584,Dollar General 1636,5600 Market St,,Snow Hill,Worcester,MD,21863,38.18713,-75.377754,Other
257401,11588,Royal Farms 50,2704 Washington Blvd,,Baltimore,Baltimore City,MD,21230,39.264553,-76.655174,Convenience Store
256870,11678,Royal Farms 113,4007 Sykesville Rd,,Finksburg,Carroll,MD,21048,39.464329,-76.934616,Convenience Store
317454,11791,Walgreens 19851,10456 Baltimore Ave,,Beltsville,Prince Georges,MD,20705,39.02816,-76.918365,Other
257873,11836,Royal Farms 06,3635 Keswick Rd,,Baltimore,Baltimore City,MD,21211,39.332142,-76.628036,Convenience Store
319086,11913,CVS Pharmacy Inc 1351,1751 Columbia Rd NW,,Washington,Dist Of Columbia,DC,20009,38.923965,-77.041283,Other
